"Timestamp","UserId","VendorId","EventId","ApplicationId","Status"
"2025-09-05 13:00:38Z","52","49","49",,"Success"
"2025-09-05 13:20:50Z","52","50","50",,"Success"
"2025-09-05 13:38:10Z","52","51","51",,"Success"
2025-09-06T19:17:11.5073090Z,Register user,FAIL,"Already exists, id=52"
2025-09-06T19:17:12.6242477Z,Login,PASS,"token=acquired"
2025-09-06T19:17:12.9738457Z,Create vendor,PASS,"vendor=53"
2025-09-06T19:17:13.4370421Z,Create event,PASS,"event=52"
2025-09-06T19:17:13.7924418Z,Apply vendor,PASS,"app=43"
2025-09-06T19:17:14.2931289Z,Delete application,FAIL,"Could not delete application=43"
2025-09-06T19:17:14.3365681Z,Delete event,PASS,"event=52"
2025-09-06T19:17:14.3525188Z,Delete vendor,PASS,"vendor=53"
2025-09-06T19:17:14.3681824Z,Delete user,PASS,"user=52"
2025-09-07T01:48:01.121744,Cleanup,PASS,Deleted 1 test users
2025-09-07T02:21:55.212190,Cascade Users->Vendors,PASS,"user=1, vendor=1"
2025-09-07T15:29:35.043312+00:00,Cascade Users->Vendors,PASS,"user=57, vendor=55"
2025-09-07T15:29:35.085753+00:00,Cascade Users->Events,PASS,"user=58, event=53"
2025-09-07T15:29:35.152749+00:00,Cascade Events->Applications,PASS,"event=54, app=44"
2025-09-07T15:29:35.160415+00:00,Cleanup,PASS,Deleted 2 test users
2025-09-07T16:31:26.748318+00:00,Cleanup,SKIP,No test users found
2025-09-07T16:31:26.829742+00:00,Cascade Users->Vendors,PASS,"user=61, vendor=57"
2025-09-07T16:31:26.860145+00:00,Cascade Users->Events,PASS,"user=62, event=55"
2025-09-07T16:31:26.901183+00:00,Cascade Events->Applications,PASS,"event=56, app=45"
2025-09-07T16:31:26.907808+00:00,Cleanup,PASS,Deleted 2 test users
2025-09-07T16:32:10.245100+00:00,Cleanup,SKIP,No test users found
2025-09-09T01:15:14.2788224Z,Register user,PASS,"user=85"
2025-09-09T01:15:14.8343833Z,Login,PASS,"token=acquired"
2025-09-09T01:15:15.1989536Z,Create vendor,PASS,"vendor=69"
2025-09-09T01:15:15.3165325Z,Create event,PASS,"event=67"
2025-09-09T01:15:15.3574193Z,Apply vendor,PASS,"app=51"
2025-09-09T01:15:15.4563825Z,Delete application,FAIL,"Could not delete application=51"
2025-09-09T01:15:15.4710851Z,Delete event,PASS,"event=67"
2025-09-09T01:15:15.4876828Z,Delete vendor,PASS,"vendor=69"
2025-09-09T01:15:15.5163264Z,Delete user,PASS,"user=85"
2025-09-09T13:15:03.6059344Z,Register user,PASS,"user=90"
2025-09-09T13:15:04.1814331Z,Login,PASS,"token=acquired"
2025-09-09T13:15:04.2234239Z,Create vendor,PASS,"vendor=72"
2025-09-09T13:15:04.2529875Z,Create event,PASS,"event=70"
2025-09-09T13:15:04.2991546Z,Apply vendor,PASS,"app=53"
2025-09-09T13:15:04.4083351Z,Delete application,FAIL,"Could not delete application=53"
2025-09-09T13:15:04.4425749Z,Delete event,PASS,"event=70"
2025-09-09T13:15:04.4560044Z,Delete vendor,PASS,"vendor=72"
2025-09-09T13:15:04.4839000Z,Delete user,PASS,"user=90"
